,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
94,Taxonomy*ExtraTreesClassifier,ExtraTreesClassifier,Taxonomy,0.7019506597819851,0.4296012210746525,0.7397260273972602,0.5714285714285714,0.6506024096385542,0.14226804123711345
95,Transporter*ExtraTreesClassifier,ExtraTreesClassifier,Transporter,0.557372346528973,0.3478796753832404,0.24,0.7619047619047619,0.14457831325301204,-0.04816753926701578
96,Type*ExtraTreesClassifier,ExtraTreesClassifier,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
97,ATC_Level_1_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_1_description,0.6956397016637981,0.39921606667781023,0.6141732283464567,0.7619047619047619,0.46987951807228917,0.13685636856368566
98,ATC_Level_2_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_2_description,0.7670682730923695,0.4463853787950104,0.7724137931034482,0.7142857142857143,0.6746987951807228,0.2709278350515464
99,ATC_Level_3_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_3_description,0.7475616752725186,0.403639447199945,0.7285714285714285,0.7142857142857143,0.6144578313253012,0.22479403687720678
100,ATC_Level_4_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_4_description,0.529833620195066,0.2443472624046962,0.5289256198347108,0.7142857142857143,0.3855421686746988,0.08109813821394762
101,ATC_Level_5*RandomForestClassifier,RandomForestClassifier,ATC_Level_5,0.5579460699942627,0.2955994564111317,0.5760000000000001,0.7142857142857143,0.43373493975903615,0.08560053085600539
102,Associated_condition*RandomForestClassifier,RandomForestClassifier,Associated_condition,0.6098680436029834,0.2656671951983645,0.6666666666666666,0.6666666666666666,0.5421686746987951,0.13461538461538458
103,Carrier*RandomForestClassifier,RandomForestClassifier,Carrier,0.7478485370051635,0.4537214225624243,0.06976744186046512,1.0,0.03614457831325301,0.014918304522850923
104,Category*RandomForestClassifier,RandomForestClassifier,Category,0.8625932300631095,0.620952144331471,0.7737226277372263,0.9523809523809523,0.6385542168674698,0.33071147658205213
105,Enzyme*RandomForestClassifier,RandomForestClassifier,Enzyme,0.6428571428571429,0.2928094612186334,0.7000000000000001,0.6190476190476191,0.5903614457831325,0.11430734292202871
106,Group*RandomForestClassifier,RandomForestClassifier,Group,0.389271371199082,0.17520378591844754,0.0689655172413793,0.9523809523809523,0.03614457831325301,-0.004770992366412319
107,Target*RandomForestClassifier,RandomForestClassifier,Target,0.672117039586919,0.36923155173695743,0.6190476190476191,0.8095238095238095,0.46987951807228917,0.16325846463291982
108,Taxonomy*RandomForestClassifier,RandomForestClassifier,Taxonomy,0.7306368330464715,0.48104574595522104,0.6666666666666667,0.7619047619047619,0.5301204819277109,0.19972018188177676
109,Transporter*RandomForestClassifier,RandomForestClassifier,Transporter,0.5642570281124498,0.3365929991280371,0.18556701030927836,0.7619047619047619,0.10843373493975904,-0.05821741370427613
110,Type*RandomForestClassifier,RandomForestClassifier,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
111,ATC_Level_1_description*LogisticRegression,LogisticRegression,ATC_Level_1_description,0.6916236374067699,0.4146039729101204,0.625,0.7619047619047619,0.4819277108433735,0.1454981170831906
112,ATC_Level_2_description*LogisticRegression,LogisticRegression,ATC_Level_2_description,0.727481353987378,0.39846995074872255,0.7724137931034482,0.7142857142857143,0.6746987951807228,0.28320802005012524
113,ATC_Level_3_description*LogisticRegression,LogisticRegression,ATC_Level_3_description,0.7630522088353413,0.4071335493733324,0.8079470198675497,0.6666666666666666,0.7349397590361446,0.31702898550724634
114,ATC_Level_4_description*LogisticRegression,LogisticRegression,ATC_Level_4_description,0.753012048192771,0.45016512403929915,0.5853658536585366,0.8095238095238095,0.43373493975903615,0.13784135240572182
115,ATC_Level_5*LogisticRegression,LogisticRegression,ATC_Level_5,0.5567986230636832,0.3331301556649924,0.17204301075268819,0.9047619047619048,0.0963855421686747,-0.004706465196928411
116,Associated_condition*LogisticRegression,LogisticRegression,Associated_condition,0.7957544463568559,0.5546293345257931,0.6349206349206349,0.8571428571428571,0.4819277108433735,0.1981226952732148
117,Carrier*LogisticRegression,LogisticRegression,Carrier,0.6962134251290878,0.40805265426008464,0.0689655172413793,0.9523809523809523,0.03614457831325301,-0.004770992366412319
