,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
87,ATC_Level_5*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_5,0.5522088353413654,0.33078892856945036,0.5984251968503936,0.7142857142857143,0.4578313253012048,0.10162601626016265
88,Associated_condition*ExtraTreesClassifier,ExtraTreesClassifier,Associated_condition,0.595811818703385,0.24701676824350863,0.6518518518518519,0.6190476190476191,0.5301204819277109,0.08738574040219371
89,Carrier*ExtraTreesClassifier,ExtraTreesClassifier,Carrier,0.7065404475043029,0.43270800764286954,0.06976744186046512,1.0,0.03614457831325301,0.014918304522850923
90,Category*ExtraTreesClassifier,ExtraTreesClassifier,Category,0.8783706253585771,0.7009293470186075,0.7681159420289854,0.9047619047619048,0.6385542168674698,0.32692307692307687
91,Enzyme*ExtraTreesClassifier,ExtraTreesClassifier,Enzyme,0.6239242685025816,0.292988870539891,0.6950354609929078,0.5714285714285714,0.5903614457831325,0.04746044962531237
92,Group*ExtraTreesClassifier,ExtraTreesClassifier,Group,0.389271371199082,0.17520378591844754,0.1111111111111111,0.9047619047619048,0.060240963855421686,-0.004770992366412319
93,Target*ExtraTreesClassifier,ExtraTreesClassifier,Target,0.6787148594377509,0.3417272702212055,0.6616541353383459,0.7142857142857143,0.5301204819277109,0.15401301518438182
94,Taxonomy*ExtraTreesClassifier,ExtraTreesClassifier,Taxonomy,0.7010900745840505,0.4085694722845032,0.7222222222222222,0.5714285714285714,0.6265060240963856,0.13192182410423448
95,Transporter*ExtraTreesClassifier,ExtraTreesClassifier,Transporter,0.5851979345955249,0.3246438732236865,0.20618556701030924,0.8095238095238095,0.12048192771084337,-0.0314270994332817
96,Type*ExtraTreesClassifier,ExtraTreesClassifier,Type,0.5002868617326448,0.202015577015577,0.09090909090909091,0.9523809523809523,0.04819277108433735,0.0002403268445085871
97,ATC_Level_1_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_1_description,0.6726907630522089,0.38652764825941205,0.625,0.7619047619047619,0.4819277108433735,0.13685636856368566
98,ATC_Level_2_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_2_description,0.7693631669535285,0.41135221549681855,0.7808219178082192,0.7142857142857143,0.6867469879518072,0.29581041049513335
99,ATC_Level_3_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_3_description,0.729776247848537,0.3971380260827847,0.7101449275362319,0.7142857142857143,0.5903614457831325,0.1930355791067373
100,ATC_Level_4_description*RandomForestClassifier,RandomForestClassifier,ATC_Level_4_description,0.5235226620768789,0.24358173490536097,0.5714285714285715,0.6666666666666666,0.43373493975903615,0.036410923276983254
101,ATC_Level_5*RandomForestClassifier,RandomForestClassifier,ATC_Level_5,0.5395869191049915,0.2890575880179629,0.5984251968503936,0.7142857142857143,0.4578313253012048,0.09353000335232986
102,Associated_condition*RandomForestClassifier,RandomForestClassifier,Associated_condition,0.6135972461273667,0.2392308684495154,0.6515151515151514,0.7142857142857143,0.5180722891566265,0.1357850070721358
103,Carrier*RandomForestClassifier,RandomForestClassifier,Carrier,0.683017785427424,0.4141644211797273,0.06976744186046512,1.0,0.03614457831325301,0.014918304522850923
104,Category*RandomForestClassifier,RandomForestClassifier,Category,0.8539873780837636,0.6814011934562751,0.7022900763358779,0.9047619047619048,0.5542168674698795,0.25231085244779183
105,Enzyme*RandomForestClassifier,RandomForestClassifier,Enzyme,0.593516924842226,0.2640105419172956,0.6762589928057554,0.5714285714285714,0.5662650602409639,0.029220779220779036
106,Group*RandomForestClassifier,RandomForestClassifier,Group,0.389271371199082,0.17520378591844754,0.0689655172413793,0.9523809523809523,0.03614457831325301,-0.004770992366412319
107,Target*RandomForestClassifier,RandomForestClassifier,Target,0.6835915088927137,0.37319613876211605,0.6141732283464567,0.7619047619047619,0.46987951807228917,0.13685636856368566
108,Taxonomy*RandomForestClassifier,RandomForestClassifier,Taxonomy,0.7208835341365462,0.48012610516938453,0.6564885496183206,0.7619047619047619,0.5180722891566265,0.19031141868512114
